task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
29	0f/724e90	705452	split_samples (29)	COMPLETED	0	2018-08-27 17:37:19.392	32m 28s	31m 20s	430.7%	7.9 GB	27.1 GB	31.3 GB	35.9 GB
6	95/e5ea95	705444	split_samples (2)	COMPLETED	0	2018-08-27 17:37:18.457	33m 54s	33m 12s	599.8%	7.6 GB	27.1 GB	55.7 GB	63.6 GB
52	b5/fc7b9b	705468	split_samples (52)	COMPLETED	0	2018-08-27 17:37:24.689	36m 58s	17m 57s	446.5%	7.2 GB	27.1 GB	23.3 GB	26.9 GB
20	28/6447fb	705469	split_samples (18)	COMPLETED	0	2018-08-27 17:37:24.801	38m 3s	13m 57s	913.7%	7.3 GB	27.1 GB	19.7 GB	22.6 GB
8	66/333f82	705471	split_samples (8)	COMPLETED	0	2018-08-27 17:37:25.021	39m 12s	14m 8s	777.7%	7.6 GB	27.1 GB	19.6 GB	22.5 GB
3	bc/009fa0	705475	split_samples (6)	COMPLETED	0	2018-08-27 17:37:25.516	40m 12s	13m 36s	310.6%	7.1 GB	27.1 GB	16.8 GB	19.2 GB
7	e9/b0e20a	705477	split_samples (7)	COMPLETED	0	2018-08-27 17:37:25.732	40m 32s	13m 27s	811.3%	7.3 GB	27.1 GB	18.8 GB	21.5 GB
55	97/8d2601	705493	split_samples (55)	COMPLETED	0	2018-08-27 17:37:30.148	40m 47s	9m 46s	482.0%	7 GB	27.1 GB	12.1 GB	13.8 GB
76	13/3c3e55	705494	split_samples (76)	COMPLETED	0	2018-08-27 17:37:30.261	40m 47s	7m 41s	312.5%	7.1 GB	27.1 GB	8.6 GB	9.8 GB
45	cc/bf3fd2	705470	split_samples (45)	COMPLETED	0	2018-08-27 17:37:24.914	42m 37s	17m 58s	695.8%	7.3 GB	27.1 GB	24.8 GB	28.5 GB
58	ce/ab2a94	705476	split_samples (58)	COMPLETED	0	2018-08-27 17:37:25.625	42m 47s	16m 15s	979.9%	7.6 GB	27.1 GB	21.1 GB	24.3 GB
57	0e/d7c594	705486	split_samples (57)	COMPLETED	0	2018-08-27 17:37:26.824	43m 36s	15m 3s	422.6%	7.5 GB	27.1 GB	19.9 GB	22.9 GB
36	0c/91b6bc	705480	split_samples (36)	COMPLETED	0	2018-08-27 17:37:26.117	43m 51s	20m 51s	397.7%	7.7 GB	27.1 GB	28.2 GB	32.4 GB
12	c0/6b59d2	705472	split_samples (12)	COMPLETED	0	2018-08-27 17:37:25.130	44m 57s	19m 20s	1252.5%	7.6 GB	27.1 GB	28.7 GB	28.5 GB
47	22/5b4e44	705483	split_samples (47)	COMPLETED	0	2018-08-27 17:37:26.463	45m 1s	17m 21s	309.0%	7.1 GB	27.1 GB	20.9 GB	24 GB
19	75/5a4845	705479	split_samples (20)	COMPLETED	0	2018-08-27 17:37:25.965	45m 16s	18m 5s	578.5%	7.3 GB	27.1 GB	20.3 GB	23.1 GB
9	cf/704a8e	705496	split_samples (9)	COMPLETED	0	2018-08-27 17:37:30.480	45m 27s	16m 26s	680.5%	7.3 GB	27.1 GB	20.8 GB	23.9 GB
2	0c/685e59	705484	split_samples (5)	COMPLETED	0	2018-08-27 17:37:26.609	45m 46s	18m 4s	1218.2%	8 GB	27.1 GB	21.8 GB	25 GB
66	2d/76396a	705506	split_samples (66)	COMPLETED	0	2018-08-27 17:37:31.586	45m 46s	14m 55s	701.0%	7.2 GB	27.1 GB	19.8 GB	22.8 GB
